dimension,severity,entity,key,field,excel_value,db_value,delta,note
D. Produk / Menu,EXTRA_IN_DB,product,Cofe Peach,existence,,PRD-20260816-002 | YOKOCO-BEVERAGE-STALL | 36000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Doughnat Strawberry,existence,,PRD-20260824-002 | BAKERY-STALL | 15000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Ebi Shinjo,existence,,PRD-20260829-001 | SANDO-STALL | 60000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Mineral Water,existence,,PRD-20260816-003 | YOKOCO-BEVERAGE-STALL | 5000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Matchaaa Pistachio ,existence,,PRD-20260822-002 | YOKOCO-BEVERAGE-STALL | 36000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Onigiri Butter Salmon,existence,,PRD-20260825-001 | ONIGIRI-CORNER-STALL | 0.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Large Sausage Hotdog,existence,,PRD-20260829-002 | SANDO-STALL | 75000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Bomboloni Vanilla,existence,,PRD-20260816-001 | BAKERY-BAR | 20000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Onigiri Katsuobushi Spicy,existence,,PRD-20260822-001 | ONIGIRI-CORNER-STALL | 35000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Doughnat Chocolate,existence,,PRD-20260824-003 | BAKERY-STALL | 15000.00,,Produk di DB tanpa resep di workbook
D. Produk / Menu,EXTRA_IN_DB,product,Large Sausage Hotdog,existence,,MM-STALL-07-047 | BURGER-SANDWICHES-STALL | 55000.00,,Produk di DB tanpa resep di workbook
